source,target,relation,source_name,target_name,stock_code,source_layer,source_industry,source_direction,remark,data_source
photoresist_material_industry,company_300398_sz,related_company,光刻胶,飞凯材料,300398.SZ,上游,半导体材料,光刻胶,封装材料+光刻胶,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_301286_sz,related_company,电子特气,侨源股份,301286.SZ,上游,半导体材料,电子特气,工业气体,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_002549_sz,related_company,电子特气,凯美特气,002549.SZ,上游,半导体材料,电子特气,稀有气体等电子特气,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_688268_sh,related_company,电子特气,华特气体,688268.SH,上游,半导体材料,电子特气,半导体特气品类最全,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_300346_sz,related_company,电子特气,南大光电,300346.SZ,上游,半导体材料,电子特气,MO源+电子特气,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_300971_sz,related_company,电子特气,和远气体,300971.SZ,上游,半导体材料,电子特气,大宗气体,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_600378_sh,related_company,电子特气,昊华科技,600378.SH,上游,半导体材料,电子特气,化工+电子特气,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_688106_sh,related_company,电子特气,金宏气体,688106.SH,上游,半导体材料,电子特气,大宗+特种气体综合,AI细分行业相关标的（A股）.xlsx
electronic_special_gas_industry,company_002409_sz,related_company,电子特气,雅克科技,002409.SZ,上游,半导体材料,电子特气,前驱体+电子特气,AI细分行业相关标的（A股）.xlsx
silicon_wafer_material_industry,company_002129_sz,related_company,硅片,TCL中环,002129.SZ,上游,半导体材料,硅片/晶圆,大尺寸硅片产能领先,AI细分行业相关标的（A股）.xlsx
silicon_wafer_material_industry,company_003026_sz,related_company,硅片,中晶科技,003026.SZ,上游,半导体材料,硅片/晶圆,半导体硅材料,AI细分行业相关标的（A股）.xlsx
silicon_wafer_material_industry,company_688432_sh,related_company,硅片,有研硅,688432.SH,上游,半导体材料,硅片/晶圆,国资委背景硅材料企业,AI细分行业相关标的（A股）.xlsx
silicon_wafer_material_industry,company_688126_sh,related_company,硅片,沪硅产业,688126.SH,上游,半导体材料,硅片/晶圆,国内12寸大硅片绝对龙头,AI细分行业相关标的（A股）.xlsx
silicon_wafer_material_industry,company_688233_sh,related_company,硅片,神工股份,688233.SH,上游,半导体材料,硅片/晶圆,大直径硅材料细分领域,AI细分行业相关标的（A股）.xlsx
silicon_wafer_material_industry,company_605358_sh,related_company,硅片,立昂微,605358.SH,上游,半导体材料,硅片/晶圆,硅片+功率器件双轮驱动,AI细分行业相关标的（A股）.xlsx
semiconductor_target_material_industry,company_600206_sh,related_company,半导体靶材,有研新材,600206.SH,上游,半导体材料,靶材,有研系靶材企业,AI细分行业相关标的（A股）.xlsx
semiconductor_target_material_industry,company_300666_sz,related_company,半导体靶材,江丰电子,300666.SZ,上游,半导体材料,靶材,高纯溅射靶材全球领先,AI细分行业相关标的（A股）.xlsx
semiconductor_target_material_industry,company_300706_sz,related_company,半导体靶材,阿石创,300706.SZ,上游,半导体材料,靶材,PVD镀膜材料,AI细分行业相关标的（A股）.xlsx
semiconductor_target_material_industry,company_300263_sz,related_company,半导体靶材,隆华科技,300263.SZ,上游,半导体材料,靶材,复合材料+靶材,AI细分行业相关标的（A股）.xlsx
lithography_equipment_industry,company_002338_sz,related_company,光刻机,奥普光电,002338.SZ,上游,半导体设备,光刻配套/零部件,光学仪器+编码器,AI细分行业相关标的（A股）.xlsx
semiconductor_parts_industry,company_002338_sz,related_company,半导体设备零部件,奥普光电,002338.SZ,上游,半导体设备,光刻配套/零部件,光学仪器+编码器,AI细分行业相关标的（A股）.xlsx
photo_mask_industry,company_002338_sz,related_company,掩膜版,奥普光电,002338.SZ,上游,半导体设备,光刻配套/零部件,光学仪器+编码器,AI细分行业相关标的（A股）.xlsx
lithography_equipment_industry,company_600895_sh,related_company,光刻机,张江高科,600895.SH,上游,半导体设备,光刻配套/零部件,光刻机参股(上海微电子),AI细分行业相关标的（A股）.xlsx
semiconductor_parts_industry,company_600895_sh,related_company,半导体设备零部件,张江高科,600895.SH,上游,半导体设备,光刻配套/零部件,光刻机参股(上海微电子),AI细分行业相关标的（A股）.xlsx
photo_mask_industry,company_600895_sh,related_company,掩膜版,张江高科,600895.SH,上游,半导体设备,光刻配套/零部件,光刻机参股(上海微电子),AI细分行业相关标的（A股）.xlsx
lithography_equipment_industry,company_688010_sh,related_company,光刻机,福光股份,688010.SH,上游,半导体设备,光刻配套/零部件,光学镜头,AI细分行业相关标的（A股）.xlsx
semiconductor_parts_industry,company_688010_sh,related_company,半导体设备零部件,福光股份,688010.SH,上游,半导体设备,光刻配套/零部件,光学镜头,AI细分行业相关标的（A股）.xlsx
photo_mask_industry,company_688010_sh,related_company,掩膜版,福光股份,688010.SH,上游,半导体设备,光刻配套/零部件,光学镜头,AI细分行业相关标的（A股）.xlsx
lithography_equipment_industry,company_002222_sz,related_company,光刻机,福晶科技,002222.SZ,上游,半导体设备,光刻配套/零部件,光学晶体全球龙头,AI细分行业相关标的（A股）.xlsx
semiconductor_parts_industry,company_002222_sz,related_company,半导体设备零部件,福晶科技,002222.SZ,上游,半导体设备,光刻配套/零部件,光学晶体全球龙头,AI细分行业相关标的（A股）.xlsx
photo_mask_industry,company_002222_sz,related_company,掩膜版,福晶科技,002222.SZ,上游,半导体设备,光刻配套/零部件,光学晶体全球龙头,AI细分行业相关标的（A股）.xlsx
lithography_equipment_industry,company_688376_sh,related_company,光刻机,美埃科技,688376.SH,上游,半导体设备,光刻配套/零部件,洁净室过滤,AI细分行业相关标的（A股）.xlsx
semiconductor_parts_industry,company_688376_sh,related_company,半导体设备零部件,美埃科技,688376.SH,上游,半导体设备,光刻配套/零部件,洁净室过滤,AI细分行业相关标的（A股）.xlsx
photo_mask_industry,company_688376_sh,related_company,掩膜版,美埃科技,688376.SH,上游,半导体设备,光刻配套/零部件,洁净室过滤,AI细分行业相关标的（A股）.xlsx
lithography_equipment_industry,company_300331_sz,related_company,光刻机,苏大维格,300331.SZ,上游,半导体设备,光刻配套/零部件,微纳光学,AI细分行业相关标的（A股）.xlsx
semiconductor_parts_industry,company_300331_sz,related_company,半导体设备零部件,苏大维格,300331.SZ,上游,半导体设备,光刻配套/零部件,微纳光学,AI细分行业相关标的（A股）.xlsx
photo_mask_industry,company_300331_sz,related_company,掩膜版,苏大维格,300331.SZ,上游,半导体设备,光刻配套/零部件,微纳光学,AI细分行业相关标的（A股）.xlsx
lithography_equipment_industry,company_688502_sh,related_company,光刻机,茂莱光学,688502.SH,上游,半导体设备,光刻配套/零部件,精密光学元件,AI细分行业相关标的（A股）.xlsx
semiconductor_parts_industry,company_688502_sh,related_company,半导体设备零部件,茂莱光学,688502.SH,上游,半导体设备,光刻配套/零部件,精密光学元件,AI细分行业相关标的（A股）.xlsx
photo_mask_industry,company_688502_sh,related_company,掩膜版,茂莱光学,688502.SH,上游,半导体设备,光刻配套/零部件,精密光学元件,AI细分行业相关标的（A股）.xlsx
etch_equipment_industry,company_688012_sh,related_company,刻蚀设备,中微公司,688012.SH,上游,半导体设备,刻蚀设备,CCP/ICP刻蚀龙头,AI细分行业相关标的（A股）.xlsx
etch_equipment_industry,company_002371_sz,related_company,刻蚀设备,北方华创,002371.SZ,上游,半导体设备,刻蚀设备,平台型设备巨头,AI细分行业相关标的（A股）.xlsx
etch_equipment_industry,company_688037_sh,related_company,刻蚀设备,芯源微,688037.SH,上游,半导体设备,刻蚀设备,涂胶显影+刻蚀配套,AI细分行业相关标的（A股）.xlsx
semiconductor_inspection_equipment_industry,company_688361_sh,related_company,半导体检测设备,中科飞测,688361.SH,上游,半导体设备,检测/量测设备,量检测设备国产化先锋,AI细分行业相关标的（A股）.xlsx
semiconductor_metrology_equipment_industry,company_688361_sh,related_company,半导体量测设备,中科飞测,688361.SH,上游,半导体设备,检测/量测设备,量检测设备国产化先锋,AI细分行业相关标的（A股）.xlsx
inspection_metrology_equipment_industry,company_688361_sh,related_company,检测量测设备,中科飞测,688361.SH,上游,半导体设备,检测/量测设备,量检测设备国产化先锋,AI细分行业相关标的（A股）.xlsx
semiconductor_inspection_equipment_industry,company_688003_sh,related_company,半导体检测设备,天准科技,688003.SH,上游,半导体设备,检测/量测设备,机器视觉检测,AI细分行业相关标的（A股）.xlsx
semiconductor_metrology_equipment_industry,company_688003_sh,related_company,半导体量测设备,天准科技,688003.SH,上游,半导体设备,检测/量测设备,机器视觉检测,AI细分行业相关标的（A股）.xlsx
inspection_metrology_equipment_industry,company_688003_sh,related_company,检测量测设备,天准科技,688003.SH,上游,半导体设备,检测/量测设备,机器视觉检测,AI细分行业相关标的（A股）.xlsx
semiconductor_inspection_equipment_industry,company_300567_sz,related_company,半导体检测设备,精测电子,300567.SZ,上游,半导体设备,检测/量测设备,面板检测设备延伸,AI细分行业相关标的（A股）.xlsx
semiconductor_metrology_equipment_industry,company_300567_sz,related_company,半导体量测设备,精测电子,300567.SZ,上游,半导体设备,检测/量测设备,面板检测设备延伸,AI细分行业相关标的（A股）.xlsx
inspection_metrology_equipment_industry,company_300567_sz,related_company,检测量测设备,精测电子,300567.SZ,上游,半导体设备,检测/量测设备,面板检测设备延伸,AI细分行业相关标的（A股）.xlsx
semiconductor_inspection_equipment_industry,company_603283_sh,related_company,半导体检测设备,赛腾股份,603283.SH,上游,半导体设备,检测/量测设备,检测设备,AI细分行业相关标的（A股）.xlsx
semiconductor_metrology_equipment_industry,company_603283_sh,related_company,半导体量测设备,赛腾股份,603283.SH,上游,半导体设备,检测/量测设备,检测设备,AI细分行业相关标的（A股）.xlsx
inspection_metrology_equipment_industry,company_603283_sh,related_company,检测量测设备,赛腾股份,603283.SH,上游,半导体设备,检测/量测设备,检测设备,AI细分行业相关标的（A股）.xlsx
single_wafer_wet_equipment_industry,company_688082_sh,related_company,单片式湿法设备,盛美上海,688082.SH,上游,半导体设备,清洗设备,单片/槽式清洗龙头,AI细分行业相关标的（A股）.xlsx
photoresist_stripping_equipment_industry,company_688082_sh,related_company,去胶设备,盛美上海,688082.SH,上游,半导体设备,清洗设备,单片/槽式清洗龙头,AI细分行业相关标的（A股）.xlsx
single_wafer_wet_equipment_industry,company_603690_sh,related_company,单片式湿法设备,至纯科技,603690.SH,上游,半导体设备,清洗设备,清洗设备+高纯工艺,AI细分行业相关标的（A股）.xlsx
photoresist_stripping_equipment_industry,company_603690_sh,related_company,去胶设备,至纯科技,603690.SH,上游,半导体设备,清洗设备,清洗设备+高纯工艺,AI细分行业相关标的（A股）.xlsx
single_wafer_wet_equipment_industry,company_688037_sh,related_company,单片式湿法设备,芯源微,688037.SH,上游,半导体设备,清洗设备,含清洗环节配套,AI细分行业相关标的（A股）.xlsx
photoresist_stripping_equipment_industry,company_688037_sh,related_company,去胶设备,芯源微,688037.SH,上游,半导体设备,清洗设备,含清洗环节配套,AI细分行业相关标的（A股）.xlsx
cvd_equipment_industry,company_002371_sz,related_company,CVD设备,北方华创,002371.SZ,上游,半导体设备,薄膜沉积,PVD/CVD全覆盖,AI细分行业相关标的（A股）.xlsx
pvd_equipment_industry,company_002371_sz,related_company,PVD设备,北方华创,002371.SZ,上游,半导体设备,薄膜沉积,PVD/CVD全覆盖,AI细分行业相关标的（A股）.xlsx
cvd_equipment_industry,company_688147_sh,related_company,CVD设备,微导纳米,688147.SH,上游,半导体设备,薄膜沉积,ALD细分领先,AI细分行业相关标的（A股）.xlsx
pvd_equipment_industry,company_688147_sh,related_company,PVD设备,微导纳米,688147.SH,上游,半导体设备,薄膜沉积,ALD细分领先,AI细分行业相关标的（A股）.xlsx
cvd_equipment_industry,company_688072_sh,related_company,CVD设备,拓荆科技,688072.SH,上游,半导体设备,薄膜沉积,PECVD/ALD/SACVD龙头,AI细分行业相关标的（A股）.xlsx
pvd_equipment_industry,company_688072_sh,related_company,PVD设备,拓荆科技,688072.SH,上游,半导体设备,薄膜沉积,PECVD/ALD/SACVD龙头,AI细分行业相关标的（A股）.xlsx
cvd_equipment_industry,company_688082_sh,related_company,CVD设备,盛美上海,688082.SH,上游,半导体设备,薄膜沉积,含薄膜沉积设备,AI细分行业相关标的（A股）.xlsx
pvd_equipment_industry,company_688082_sh,related_company,PVD设备,盛美上海,688082.SH,上游,半导体设备,薄膜沉积,含薄膜沉积设备,AI细分行业相关标的（A股）.xlsx
packaging_substrate_industry,company_002436_sz,related_company,封装基板,兴森科技,002436.SZ,上游,封装材料,封装基板,FC-BGA产能爬坡,AI细分行业相关标的（A股）.xlsx
packaging_substrate_industry,company_603936_sh,related_company,封装基板,博敏电子,603936.SH,上游,封装材料,封装基板,封装基板+PCB,AI细分行业相关标的（A股）.xlsx
packaging_substrate_industry,company_002916_sz,related_company,封装基板,深南电路,002916.SZ,上游,封装材料,封装基板,国内封装基板龙头,AI细分行业相关标的（A股）.xlsx
epoxy_molding_underfill_material_industry,company_688535_sh,related_company,环氧塑封料/底填胶,华海诚科,688535.SH,上游,封装材料,环氧塑封料/底填胶,环氧塑封料龙头,AI细分行业相关标的（A股）.xlsx
epoxy_molding_underfill_material_industry,company_688733_sh,related_company,环氧塑封料/底填胶,壹石通,688733.SH,上游,封装材料,环氧塑封料/底填胶,电子材料,AI细分行业相关标的（A股）.xlsx
epoxy_molding_underfill_material_industry,company_688035_sh,related_company,环氧塑封料/底填胶,德邦科技,688035.SH,上游,封装材料,环氧塑封料/底填胶,电子封装材料,AI细分行业相关标的（A股）.xlsx
epoxy_molding_underfill_material_industry,company_688300_sh,related_company,环氧塑封料/底填胶,联瑞新材,688300.SH,上游,封装材料,环氧塑封料/底填胶,硅微粉核心供应商,AI细分行业相关标的（A股）.xlsx
epoxy_molding_underfill_material_industry,company_002409_sz,related_company,环氧塑封料/底填胶,雅克科技,002409.SZ,上游,封装材料,环氧塑封料/底填胶,前驱体+封装材料,AI细分行业相关标的（A股）.xlsx
epoxy_molding_underfill_material_industry,company_300398_sz,related_company,环氧塑封料/底填胶,飞凯材料,300398.SZ,上游,封装材料,环氧塑封料/底填胶,封装材料,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_688385_sh,related_company,AI推理芯片,复旦微电,688385.SH,中游,AI芯片,GPU/AI加速卡,FPGA+安全芯片,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_688385_sh,related_company,AI训练芯片,复旦微电,688385.SH,中游,AI芯片,GPU/AI加速卡,FPGA+安全芯片,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_688385_sh,related_company,GPU/GPGPU芯片,复旦微电,688385.SH,中游,AI芯片,GPU/AI加速卡,FPGA+安全芯片,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_688107_sh,related_company,AI推理芯片,安路科技,688107.SH,中游,AI芯片,GPU/AI加速卡,FPGA,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_688107_sh,related_company,AI训练芯片,安路科技,688107.SH,中游,AI芯片,GPU/AI加速卡,FPGA,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_688107_sh,related_company,GPU/GPGPU芯片,安路科技,688107.SH,中游,AI芯片,GPU/AI加速卡,FPGA,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_688256_sh,related_company,AI推理芯片,寒武纪,688256.SH,中游,AI芯片,GPU/AI加速卡,思元系列云端训练/推理卡,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_688256_sh,related_company,AI训练芯片,寒武纪,688256.SH,中游,AI芯片,GPU/AI加速卡,思元系列云端训练/推理卡,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_688256_sh,related_company,GPU/GPGPU芯片,寒武纪,688256.SH,中游,AI芯片,GPU/AI加速卡,思元系列云端训练/推理卡,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_688416_sh,related_company,AI推理芯片,恒烁股份,688416.SH,中游,AI芯片,GPU/AI加速卡,存算一体,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_688416_sh,related_company,AI训练芯片,恒烁股份,688416.SH,中游,AI芯片,GPU/AI加速卡,存算一体,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_688416_sh,related_company,GPU/GPGPU芯片,恒烁股份,688416.SH,中游,AI芯片,GPU/AI加速卡,存算一体,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_300474_sz,related_company,AI推理芯片,景嘉微,300474.SZ,中游,AI芯片,GPU/AI加速卡,GPU图形芯片,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_300474_sz,related_company,AI训练芯片,景嘉微,300474.SZ,中游,AI芯片,GPU/AI加速卡,GPU图形芯片,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_300474_sz,related_company,GPU/GPGPU芯片,景嘉微,300474.SZ,中游,AI芯片,GPU/AI加速卡,GPU图形芯片,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_688041_sh,related_company,AI推理芯片,海光信息,688041.SH,中游,AI芯片,GPU/AI加速卡,深算DCU国产AI芯片龙头,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_688041_sh,related_company,AI训练芯片,海光信息,688041.SH,中游,AI芯片,GPU/AI加速卡,深算DCU国产AI芯片龙头,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_688041_sh,related_company,GPU/GPGPU芯片,海光信息,688041.SH,中游,AI芯片,GPU/AI加速卡,深算DCU国产AI芯片龙头,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_300053_sz,related_company,AI推理芯片,航宇微,300053.SZ,中游,AI芯片,GPU/AI加速卡,卫星+AI芯片,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_300053_sz,related_company,AI训练芯片,航宇微,300053.SZ,中游,AI芯片,GPU/AI加速卡,卫星+AI芯片,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_300053_sz,related_company,GPU/GPGPU芯片,航宇微,300053.SZ,中游,AI芯片,GPU/AI加速卡,卫星+AI芯片,AI细分行业相关标的（A股）.xlsx
inference_chip_industry,company_688047_sh,related_company,AI推理芯片,龙芯中科,688047.SH,中游,AI芯片,GPU/AI加速卡,自研指令集CPU,AI细分行业相关标的（A股）.xlsx
training_chip_industry,company_688047_sh,related_company,AI训练芯片,龙芯中科,688047.SH,中游,AI芯片,GPU/AI加速卡,自研指令集CPU,AI细分行业相关标的（A股）.xlsx
gpu_chip_industry,company_688047_sh,related_company,GPU/GPGPU芯片,龙芯中科,688047.SH,中游,AI芯片,GPU/AI加速卡,自研指令集CPU,AI细分行业相关标的（A股）.xlsx
dram_industry,company_688110_sh,related_company,DRAM,东芯股份,688110.SH,中游,AI芯片,存储芯片/HBM,中小容量存储,AI细分行业相关标的（A股）.xlsx
hbm_industry,company_688110_sh,related_company,HBM高带宽存储,东芯股份,688110.SH,中游,AI芯片,存储芯片/HBM,中小容量存储,AI细分行业相关标的（A股）.xlsx
nand_industry,company_688110_sh,related_company,NAND闪存,东芯股份,688110.SH,中游,AI芯片,存储芯片/HBM,中小容量存储,AI细分行业相关标的（A股）.xlsx
memory_interface_chip_industry,company_688110_sh,related_company,内存接口及互连芯片,东芯股份,688110.SH,中游,AI芯片,存储芯片/HBM,中小容量存储,AI细分行业相关标的（A股）.xlsx
storage_controller_chip_industry,company_688110_sh,related_company,存储主控芯片,东芯股份,688110.SH,中游,AI芯片,存储芯片/HBM,中小容量存储,AI细分行业相关标的（A股）.xlsx
dram_industry,company_688525_sh,related_company,DRAM,佰维存储,688525.SH,中游,AI芯片,存储芯片/HBM,存储模组,AI细分行业相关标的（A股）.xlsx
hbm_industry,company_688525_sh,related_company,HBM高带宽存储,佰维存储,688525.SH,中游,AI芯片,存储芯片/HBM,存储模组,AI细分行业相关标的（A股）.xlsx
nand_industry,company_688525_sh,related_company,NAND闪存,佰维存储,688525.SH,中游,AI芯片,存储芯片/HBM,存储模组,AI细分行业相关标的（A股）.xlsx
memory_interface_chip_industry,company_688525_sh,related_company,内存接口及互连芯片,佰维存储,688525.SH,中游,AI芯片,存储芯片/HBM,存储模组,AI细分行业相关标的（A股）.xlsx
storage_controller_chip_industry,company_688525_sh,related_company,存储主控芯片,佰维存储,688525.SH,中游,AI芯片,存储芯片/HBM,存储模组,AI细分行业相关标的（A股）.xlsx
dram_industry,company_603986_sh,related_company,DRAM,兆易创新,603986.SH,中游,AI芯片,存储芯片/HBM,NOR Flash+MCU龙头,AI细分行业相关标的（A股）.xlsx
hbm_industry,company_603986_sh,related_company,HBM高带宽存储,兆易创新,603986.SH,中游,AI芯片,存储芯片/HBM,NOR Flash+MCU龙头,AI细分行业相关标的（A股）.xlsx
nand_industry,company_603986_sh,related_company,NAND闪存,兆易创新,603986.SH,中游,AI芯片,存储芯片/HBM,NOR Flash+MCU龙头,AI细分行业相关标的（A股）.xlsx
memory_interface_chip_industry,company_603986_sh,related_company,内存接口及互连芯片,兆易创新,603986.SH,中游,AI芯片,存储芯片/HBM,NOR Flash+MCU龙头,AI细分行业相关标的（A股）.xlsx
storage_controller_chip_industry,company_603986_sh,related_company,存储主控芯片,兆易创新,603986.SH,中游,AI芯片,存储芯片/HBM,NOR Flash+MCU龙头,AI细分行业相关标的（A股）.xlsx
dram_industry,company_300223_sz,related_company,DRAM,北京君正,300223.SZ,中游,AI芯片,存储芯片/HBM,车规级存储+AI芯片,AI细分行业相关标的（A股）.xlsx
hbm_industry,company_300223_sz,related_company,HBM高带宽存储,北京君正,300223.SZ,中游,AI芯片,存储芯片/HBM,车规级存储+AI芯片,AI细分行业相关标的（A股）.xlsx
nand_industry,company_300223_sz,related_company,NAND闪存,北京君正,300223.SZ,中游,AI芯片,存储芯片/HBM,车规级存储+AI芯片,AI细分行业相关标的（A股）.xlsx
memory_interface_chip_industry,company_300223_sz,related_company,内存接口及互连芯片,北京君正,300223.SZ,中游,AI芯片,存储芯片/HBM,车规级存储+AI芯片,AI细分行业相关标的（A股）.xlsx
storage_controller_chip_industry,company_300223_sz,related_company,存储主控芯片,北京君正,300223.SZ,中游,AI芯片,存储芯片/HBM,车规级存储+AI芯片,AI细分行业相关标的（A股）.xlsx
dram_industry,company_002213_sz,related_company,DRAM,大为股份,002213.SZ,中游,AI芯片,存储芯片/HBM,存储+汽车,AI细分行业相关标的（A股）.xlsx
hbm_industry,company_002213_sz,related_company,HBM高带宽存储,大为股份,002213.SZ,中游,AI芯片,存储芯片/HBM,存储+汽车,AI细分行业相关标的（A股）.xlsx
nand_industry,company_002213_sz,related_company,NAND闪存,大为股份,002213.SZ,中游,AI芯片,存储芯片/HBM,存储+汽车,AI细分行业相关标的（A股）.xlsx
memory_interface_chip_industry,company_002213_sz,related_company,内存接口及互连芯片,大为股份,002213.SZ,中游,AI芯片,存储芯片/HBM,存储+汽车,AI细分行业相关标的（A股）.xlsx
